"guid","label"
"urn:uuid:14496496-1aef-4fae-9468-9b9b158b8827","Information Element ActedUpon dwc:taxonID, dwc:scientificName, dwc:scientificNameID, dwc:acceptedNameUsageID, dwc:originalNameUsageID, dwc:taxonConceptID, dwc:higherClassification, dwc:kingdom, dwc:phylum, dwc:class, dwc:order, dwc:superfamily, dwc:family, dwc:subfamily, dwc:tribe, dwc:subtribe, dwc:genus, dwc:genericName, dwc:subgenus, dwc:infragenericEpithet, dwc:specificEpithet, dwc:infraspecificEpithet, dwc:cultivarEpithet, dwc:vernacularName, dwc:scientificNameAuthorship, dwc:taxonRank"
"urn:uuid:3d82cf1d-7f1e-4844-aa69-013009b7e514","Information Element Consulted dwc:scientificNameID"
"urn:uuid:d3c205d5-0099-40d4-9345-b932eaeec0c3","Information Element ActedUpon dwc:scientificName"
"urn:uuid:8c10d361-5bf7-4c9d-8464-c813cdf7dda3","Information Element ActedUpon dwc:dataGeneralizations"
"urn:uuid:b03dfdcb-95ff-49ca-92bf-be0c489b6913","Information Element ActedUpon dwc:countryCode, dwc:decimalLatitude, dwc:decimalLongitude"
"urn:uuid:2c32cfc9-66d2-4512-9ebb-b3253c7b5dd5","Information Element Consulted dwc:individualCount, dwc:organismQuantity"
"urn:uuid:e251108c-ae49-46fa-b5db-d955fd0f4fa4","Information Element ActedUpon dwc:occurrenceStatus"
"urn:uuid:5952edde-a17a-4066-950e-9b2ec44396f3","Information Element ActedUpon dwc:dateIdentified"
"urn:uuid:b74a5cc3-26c3-4613-9c2c-1df73477f769","Information Element Consulted dwc:eventDate"
"urn:uuid:5b155af3-2ce0-432e-ab10-2e21d6ccd32a","Information Element ActedUpon dwc:class"
"urn:uuid:ee2d10d9-f54a-447c-9809-9c9a77d7fb81","Information Element ActedUpon dwc:geodeticDatum"
"urn:uuid:e7528e9b-e4d8-42bf-b6e1-169587ca69b8","Information Element ActedUpon dwc:decimalLatitude"
"urn:uuid:b856f48c-bf6f-4637-b8de-37d379831801","Information Element ActedUpon dwc:kingdom"
"urn:uuid:e2c72838-379e-455f-a668-76efed1fd8be","Information Element ActedUpon dwc:scientificName"
"urn:uuid:b1b7b96f-79c7-414e-998f-4e31c23b6dec","Information Element ActedUpon dwc:order"
"urn:uuid:ba329a30-e16f-4e70-b58f-b0ff0796c32c","Information Element ActedUpon dwc:year"
"urn:uuid:1566935f-4ec6-42bd-b4d9-0bea9dcea626","Information Element ActedUpon dwc:eventDate"
"urn:uuid:697cf278-3c46-48f4-84ab-385a7cd9db3c","Information Element Consulted dwc:verbatimEventDate"
"urn:uuid:9eb71daa-6832-4fb4-a6e1-8a0bc19f402e","Information Element ActedUpon dwc:decimalLatitude, dwc:decimalLongitude"
"urn:uuid:9467c6f2-761f-40fd-b738-530f0fc9b597","Information Element ActedUpon dwc:eventDate, dwc:year, dwc:month, dwc:day, dwc:startDayOfYear, dwc:endDayOfYear, dwc:verbatimEventDate"
"urn:uuid:2c6643b1-79c1-425c-b5c9-697215c993ed","Information Element ActedUpon dc:type"
"urn:uuid:05f8a834-4582-4d50-8ac6-2bd766c3ae28","Information Element Consulted dwc:year, dwc:month, dwc:day"
"urn:uuid:b0a5e98c-5175-490c-b6db-757bed18775a","Information Element ActedUpon dwc:eventDate"
"urn:uuid:09023be7-9359-48a8-873b-3e65d43427ba","Information Element ActedUpon dwc:establishmentMeans"
"urn:uuid:2aa64afc-f3f3-4d30-a02c-28ed2298f7b8","Information Element ActedUpon dwc:decimalLongitude"
"urn:uuid:a14b663c-fbdb-4be2-a484-baa171cc20d9","Information Element ActedUpon dwc:countryCode"
"urn:uuid:3a2f01ca-0c58-4971-a559-bcdafca89926","Information Element ActedUpon dcterms:license"
"urn:uuid:a06d69d9-50ae-4d95-977c-73e926be4883","Information Element ActedUpon dwc:scientificName, dwc:genericName, dwc:specificEpithet, dwc:infraspecificEpithet"
"urn:uuid:9e2a587e-a505-4f5f-9cb4-30625d184e17","Information Element ActedUpon dwc:geodeticDatum, dwc:coordinateUncertaintyInMeters, dwc:decimalLatitude, dwc:decimalLongitude"
"urn:uuid:73e942ae-f6fa-4a43-a135-3b0afc0a3d37","Information Element ActedUpon dc:type"
"urn:uuid:0566561f-8909-4ceb-90f9-4cdbbe10aa87","Information Element ActedUpon dwc:basisOfRecord"
"urn:uuid:d6aed829-5a37-4d2c-9acd-18dc3d020116","Information Element ActedUpon dwc:taxonID, dwc:scientificNameID, dwc:acceptedNameUsageID, dwc:parentNameUsageID, dwc:originalNameUsageID, dwc:taxonConceptID, dwc:scientificName, dwc:higherClassification, dwc:kingdom, dwc:phylum, dwc:class, dwc:order, dwc:superfamily, dwc:family, dwc:subfamily, dwc:tribe, dwc:subtribe, dwc:genus, dwc:genericName, dwc:subgenus, dwc:infragenericEpithet, dwc:specificEpithet, dwc:infraspecificEpithet, dwc:vernacularName, dwc:cultivarEpithet"
"urn:uuid:fc3cb031-4e35-4b08-b9b8-b7ca7d5efd27","Information Element ActedUpon dwc:minimumDepthInMeters"
"urn:uuid:083c1f6d-80e3-4a17-9be6-e0d798e321d7","Information Element ActedUpon dwc:minimumElevationInMeters, dwc:maximumElevationInMeters"
"urn:uuid:53bfecf4-0d88-49a2-8f12-672345ef4f50","Information Element ActedUpon dwc:coordinateUncertaintyInMeters"
"urn:uuid:d06be5a2-809e-4b7a-9f4b-6ba1e6951d36","Information Element ActedUpon dwc:maximumElevationInMeters"
"urn:uuid:625baffc-d4dd-421d-a589-607c4b067725","Information Element ActedUpon dwc:occurrenceStatus"
"urn:uuid:65811e50-c74e-4fd0-9d2c-e278cd3c076d","Information Element ActedUpon dwc:occurrenceStatus"
"urn:uuid:6583b2a1-f8f6-4abd-8afa-eb65f56a60bb","Information Element ActedUpon dwc:occurrenceStatus"
"urn:uuid:f167d21b-dc3c-487c-a8d3-fc116c0158af","Information Element ActedUpon dwc:decimalLatitude"
"urn:uuid:60676d6c-d0fd-4671-a1b4-e0ec93e01dd6","Information Element ActedUpon dwc:scientificNameID"
"urn:uuid:6417eb42-b07d-4b42-9a6a-13c592aeb5ea","Information Element ActedUpon dwc:genus"
"urn:uuid:15c13417-6f82-4595-ad4b-992b30d5e41c","Information Element ActedUpon dwc:kingdom, dwc:phylum, dwc:class, dwc:order, dwc:superfamily, dwc:family, dwc:subfamily, dwc:tribe, dwc:subtribe, dwc:genus"
"urn:uuid:3b27257d-cfe4-4e47-8352-1bc4bad44ad4","Information Element ActedUpon dwc:day, dwc:month, dwc:year"
"urn:uuid:a16e8cb6-dbf5-44a9-becc-8bef83a37456","Information Element ActedUpon dwc:month"
"urn:uuid:d7853c0b-2e3a-4bbf-89c6-89123ca626bf","Information Element ActedUpon dwc:day"
"urn:uuid:84413828-448c-4365-b718-68b6cd2582e3","Information Element ActedUpon dwc:month"
