"namespace","namespace:Term","Term","Definition","Context","Comment"
"bdqdim","bdqdim:Completeness","Completeness","The extent to which data in a bdqffdq:InformationElement are present and sufficiently comprehensive for use.","bdqffdq:DataQualityDimension","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension)."
"bdqdim","bdqdim:Conformance","Conformance","Where data in a bdqffdq:InformationElement conform to a format, syntax, data type, range, or standard.","bdqffdq:DataQualityDimension","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension)."
"bdqdim","bdqdim:Consistency","Consistency","Agreement among related bdqffdq:InformationElements that are present in the data. Note that missing bdqffdq:InformationElements do not make a test bdq:Inconsistent.","bdqffdq:DataQualityDimension","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension)."
"bdqdim","bdqdim:Incomplete","Incomplete","Where a bdqffdq:InformationElement does not contain sufficient information to satisfy the scope of the test.","bdqffdq:DataQualityDimension",
"bdqdim","bdqdim:Inconsistent","Inconsistent","Where bdqdim:Consistency is not satisfied due to inconsistent values between bdqffdq:InformationElements of a bdqffdq:SingleRecord.","bdqffdq:DataQualityDimension",
"bdqdim","bdqdim:Invalid","Invalid","Where bdqdim:Conformance is not satisfied due to bdqffdq:InformationElements containing non-standard values.","bdqffdq:DataQualityDimension",
"bdqdim","bdqdim:Likeliness","Likeliness","The likelihood of Darwin Core Term(s) having true or expected values.","bdqffdq:DataQualityDimension","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension)."
"bdqdim","bdqdim:Reliability","Reliability","A measure of the degree to which data values agree with and describe an identified source of truth (object, event or any abstract or real 'thing').","bdqffdq:DataQualityDimension","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension)."
"bdqdim","bdqdim:Resolution","Resolution","The extent to which the data have sufficiently detailed information. A measure of the granularity of the data, or the smallest measurable increment.","bdqffdq:DataQualityDimension","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension)."
"bdqdim","bdqdim:Unlikely","Unlikely","Where bdqdim:Likeliness is not satisfied due to the bdqffdq:InformationElements containing a value that is not likely to occur (for example where the geographic coordinates are ""0"", ""0"").","bdqffdq:DataQualityDimension","Needs a bdq:Response.qualifier (_q.v._) response for the uncertainty."
"bdqdim","bdqdim:Ambiguous","Ambiguous","Where bdqdim:Conformance is not satisfied due to bdqffdq:InformationElements not being unambiguously resolvable by a bdq:sourceAuthority.","bdqffdq:DataQualityDimension",
