"iri","term_iri","term_localName","label","prefLabel","definition","organized_in","issued","status","rdf_type","comments","flags","controlled_value_string"
"https://rs.tdwg.org/bdq/terms/version/annotationAlertIf-2024-09-30","https://rs.tdwg.org/bdq/terms/annotationAlertIf","annotationAlertIf","annotationAlertIf","annotationAlertIf","Optionally establishes if an annotation exists in a bdq:ParamaterizedTest within a bdq:annotationSystem by describing the criteria for relating annotations in the system to records within the bdq:ParameterizedTest.","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual","Used in Test ""ANNOTATION_ISSUE_NOTEMPTY"" (bdqtest:fecaa8a3-bbd8-4c5a-a424-13c37c4bb7b1).",,"annotationAlertIf"
"https://rs.tdwg.org/bdq/terms/version/annotationSystem-2024-09-30","https://rs.tdwg.org/bdq/terms/annotationSystem","annotationSystem","annotationSystem","annotationSystem","Optionally establishes a system for annotations in a bdq:ParamaterizedTest, with the default being the w3c Annotations Data Model's ""oa:Annotation""","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual","Used in Test ""ANNOTATION_ISSUE_NOTEMPTY"" (bdqtest:fecaa8a3-bbd8-4c5a-a424-13c37c4bb7b1).",,"annotationSystem"
"https://rs.tdwg.org/bdq/terms/version/assumptionOnUnknownBiome-2024-09-30","https://rs.tdwg.org/bdq/terms/assumptionOnUnknownBiome","assumptionOnUnknownBiome","assumptionOnUnknownBiome","assumptionOnUnknownBiome","Used when a bdq:taxonomyIsMarine source authority is unable to assert the marine or non-marine status of a taxon, the biome (either ""marine or ""nonmarine"") to assume, with the default being ""noassumption"".","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual","See VALIDATION_COORDINATESTERRESTRIALMARINE_CONSISTENT (bdqtest:b9c184ce-a859-410c-9d12-71a338200380).",,"assumptionOnUnknownBiome"
"https://rs.tdwg.org/bdq/terms/version/defaultGeodeticDatum-2024-09-30","https://rs.tdwg.org/bdq/terms/defaultGeodeticDatum","defaultGeodeticDatum","defaultGeodeticDatum","defaultGeodeticDatum","Optionally establishes the default geodetic datum in a bdq:ParamaterizedTest. A default geodetic datum is supplied in cases where a bdq:Parameter is not set at the time the Test is run.","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual","See Test AMENDMENT_GEODETICDATUM_ASSUMEDDEFAULT (bdqtest:7498ca76-c4d4-42e2-8103-acacccbdffa7).",,"defaultGeodeticDatum"
"https://rs.tdwg.org/bdq/terms/version/DefaultSourceAuthority-2024-09-30","https://rs.tdwg.org/bdq/terms/DefaultSourceAuthority","DefaultSourceAuthority","DefaultSourceAuthority","DefaultSourceAuthority","A provided default bdq:SourceAuthority that is used when a required bdq:Parameter specifying a bdq:sourceAuthority has not been provided at the time the Test is run.","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual",,,"DefaultSourceAuthority"
"https://rs.tdwg.org/bdq/terms/version/defaultValue-2024-09-30","https://rs.tdwg.org/bdq/terms/defaultValue","defaultValue","defaultValue","defaultValue","A preselected value (e.g. year, elevation) to be used where a required bdq:Parameter value has not been provided at the time the Test is run.","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual",,,"defaultValue"
"https://rs.tdwg.org/bdq/terms/version/earliestValidDate-2024-09-30","https://rs.tdwg.org/bdq/terms/earliestValidDate","earliestValidDate","earliestValidDate","earliestValidDate","Optionally establishes the earliest date in a bdq:ParamaterizedTest. A default date is supplied in cases where a bdq:Parameter is not set at the time the Test is run.","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual",,,"earliestValidDate"
"https://rs.tdwg.org/bdq/terms/version/geospatialLand-2024-09-30","https://rs.tdwg.org/bdq/terms/geospatialLand","geospatialLand","geospatialLand","geospatialLand","A bdq:sourceAuthority consisting of polygons that have been derived from a union of Natural Earth vectors for Land and for Minor Islands at 1:10,000,000 resolution.","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual","See VALIDATION_COORDINATESTERRESTRIALMARINE_CONSISTENT (bdqtest:b9c184ce-a859-410c-9d12-71a338200380)",,"geospatialLand"
"https://rs.tdwg.org/bdq/terms/version/bdq:includeEventDate-2024-09-30","https://rs.tdwg.org/bdq/terms/bdq:includeEventDate","includeEventDate","includeEventDate","includeEventDate","Allows dwc:eventDate to be excluded in a bdq:ParameterizedTest. The default is to include the event date in the Test, but it may be excluded to allow an identification to be prior to the dwc:eventDate.","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual","Used in Test ""VALIDATION_DATEIDENTIFIED_INRANGE"" (bdqtest:dc8aae4b-134f-4d75-8a71-c4186239178e).",,"bdq:includeEventDate"
"https://rs.tdwg.org/bdq/terms/version/latestValidDate-2024-09-30","https://rs.tdwg.org/bdq/terms/latestValidDate","latestValidDate","latestValidDate","latestValidDate","Optionally establishes the latest date in a bdq:ParameterizedTest. A default date is supplied in cases where a bdq:Parameter is not set at the time the Test is run.","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual",,,"latestValidDate"
