"iri","term_iri","term_localName","label","prefLabel","definition","organized_in","issued","status","rdf_type","comments","flags","controlled_value_string"
"https://rs.tdwg.org/bdq/terms/version/maximumValidDepthInMeters-2024-09-30","https://rs.tdwg.org/bdq/terms/maximumValidDepthInMeters","maximumValidDepthInMeters","maximumValidDepthInMeters","maximumValidDepthInMeters","Optionally establishes the maximum depth in a bdq:ParameterizedTest. A default depth is supplied in cases where a bdq:Parameter is not set at the time the Test is run.","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual",,,"maximumValidDepthInMeters"
"https://rs.tdwg.org/bdq/terms/version/maximumValidElevationInMeters-2024-09-30","https://rs.tdwg.org/bdq/terms/maximumValidElevationInMeters","maximumValidElevationInMeters","maximumValidElevationInMeters","maximumValidElevationInMeters","Optionally establishes the highest elevation in a bdq:ParameterizedTest. A default elevation is supplied in cases where a bdq:Parameter is not set at the time the Test is run.","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual",,,"maximumValidElevationInMeters"
"https://rs.tdwg.org/bdq/terms/version/minimumValidDepthInMeters-2024-09-30","https://rs.tdwg.org/bdq/terms/minimumValidDepthInMeters","minimumValidDepthInMeters","minimumValidDepthInMeters","minimumValidDepthInMeters","Optionally establishes the minimum depth in a bdq:ParameterizedTest. A default depth is supplied in cases where a bdq:Parameter is not set at the time the Test is run.","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual",,,"minimumValidDepthInMeters"
"https://rs.tdwg.org/bdq/terms/version/minimumValidElevationInMeters-2024-09-30","https://rs.tdwg.org/bdq/terms/minimumValidElevationInMeters","minimumValidElevationInMeters","minimumValidElevationInMeters","minimumValidElevationInMeters","Optionally establishes the lowest elevation in a bdq:ParameterizedTest. A default elevation is supplied in cases where a bdq:Parameter is not set at the time the Test is run.","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual",,,"minimumValidElevationInMeters"
"https://rs.tdwg.org/bdq/terms/version/sourceAuthority-2024-09-30","https://rs.tdwg.org/bdq/terms/sourceAuthority","sourceAuthority","sourceAuthority","sourceAuthority","An authority using the ""bdq"" namespace that provides a reference for values required for a Test evaluation. Where the Test is a bdq:ParameterizedTest a bdq:defaultSourceAuthority (""bdq:sourceAuthority default = xxx"") is specified.","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual",,,"sourceAuthority"
"https://rs.tdwg.org/bdq/terms/version/spatialBufferInMeters-2024-09-30","https://rs.tdwg.org/bdq/terms/spatialBufferInMeters","spatialBufferInMeters","spatialBufferInMeters","spatialBufferInMeters","A buffer, in meters, from a polygon (geopolitical boundary, coastline, etc.).","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual",,,"spatialBufferInMeters"
"https://rs.tdwg.org/bdq/terms/version/taxonIsMarine-2024-09-30","https://rs.tdwg.org/bdq/terms/taxonIsMarine","taxonIsMarine","taxonIsMarine","taxonIsMarine","A bdq:sourceAuthority that uses dwc:scientificName to deterrmine the ""marine"" or ""non-marine"" status of a taxon using the ""Environment"" term obtained from the World Register of Marine Species (WORMS) database.","bdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual","See VALIDATION_COORDINATESTERRESTRIALMARINE_CONSISTENT (bdqtest:b9c184ce-a859-410c-9d12-71a338200380).",,"taxonIsMarine"
"https://rs.tdwg.org/bdq/terms/version/AllAmendmentTestsRunOnSingleRecord-2024-09-30","https://rs.tdwg.org/bdq/terms/AllAmendmentTestsRunOnSingleRecord","AllAmendmentTestsRunOnSingleRecord","AllAmendmentTestsRunOnSingleRecord","AllAmendmentTestsRunOnSingleRecord","A list of bdqffdq:Amendment Tests that have been run on a bdqffdq:SingleRecord forming the input to another Test.","bdqffdq:InformationElement","2024-09-30","recommended","bdqffdq:InformationElement","Used in Measure of Single Record Tests",,"AllAmendmentTestsRunOnSingleRecord"
"https://rs.tdwg.org/bdq/terms/version/AllValidationTestsRunOnSingleRecord-2024-09-30","https://rs.tdwg.org/bdq/terms/AllValidationTestsRunOnSingleRecord","AllValidationTestsRunOnSingleRecord","AllValidationTestsRunOnSingleRecord","AllValidationTestsRunOnSingleRecord","A list of bdqffdq:Validation Tests that have been run on a bdqffdq:SingleRecord.","bdqffdq:InformationElement","2024-09-30","recommended","bdqffdq:InformationElement","Used in Measure of Single Record Tests",,"AllValidationTestsRunOnSingleRecord"
"https://rs.tdwg.org/bdq/terms/version/Alien-Species-2024-09-30","https://rs.tdwg.org/bdq/terms/Alien-Species","Alien-Species","Alien-Species","Alien-Species","Research uses forming a bdqffdq:UseCase for Occurrence data of alien species 1) where the Information Elements concern what organism occurred where and when and the means, degree, and pathways of establishment, and 2) that are used for analysis of spatial and/or temporal patterns of biodiversity (see examples in Groom et al. (2019). Improving Darwin Core for research and management of alien species. Biodiversity Information Science and Standards, 3: e38084. https://doi.org/10.3897/biss.3.38084).","bdqffdq:UseCase","2024-09-30","recommended","bdqffdq:UseCase",,,"Alien-Species"
"https://rs.tdwg.org/bdq/terms/version/Biotic-Relationships-2024-09-30","https://rs.tdwg.org/bdq/terms/Biotic-Relationships","Biotic-Relationships","Biotic-Relationships","Biotic-Relationships","Research uses forming a bdqffdq:UseCase for relationships between organisms 1) where the bdqffdq:InformationElements concern what organisms have a relationship and 2) that are used for analysis of the relationship of one organism to another (see examples in: Poelen JH, Simons JD, Mungall CJ. (2014). Global Biotic Interactions: An open infrastructure to share and analyze species-interaction datasets. Ecological Informatics, 24, 148–159. https://doi.org/10.1016/j.ecoinf.2014.08.005).","bdqffdq:UseCase","2024-09-30","recommended","bdqffdq:UseCase",,,"Biotic-Relationships"
"https://rs.tdwg.org/bdq/terms/version/Record-Management-2024-09-30","https://rs.tdwg.org/bdq/terms/Record-Management","Record-Management","Record-Management","Record-Management","A bdqffdq:UseCase that documents the management of the quality of biodiversity data records (see examples in Rees ER & Nicholls M (2020) Data Quality Use Case Study Results. Biodiversity Information Science and Standards 4: e50889, suppl. 2. https://doi.org/10.3897/biss.4.50889.suppl2).","bdqffdq:UseCase","2024-09-30","recommended","bdqffdq:UseCase",,,"Record-Management"
"https://rs.tdwg.org/bdq/terms/version/Spatial-Temporal_Patterns-2024-09-30","https://rs.tdwg.org/bdq/terms/Spatial-Temporal_Patterns","Spatial-Temporal_Patterns","Spatial-Temporal Patterns","Spatial-Temporal Patterns","Research uses forming a bdqffdq:UseCase for biodiversity Occurrence data 1) where the Information Elements concern what organism occurred where and when and 2) that are used for analysis of spatial and/or temporal patterns of biodiversity (see examples in Rees ER & Nicholls M (2020) Data Quality Use Case Study Results. Biodiversity Information Science and Standards 4: e50889, suppl. 2. https://doi.org/10.3897/biss.4.50889.suppl2).","bdqffdq:UseCase","2024-09-30","recommended","bdqffdq:UseCase",,,"Spatial-Temporal Patterns"
"https://rs.tdwg.org/bdq/terms/version/Taxon-Management-2024-09-30","https://rs.tdwg.org/bdq/terms/Taxon-Management","Taxon-Management","Taxon-Management","Taxon-Management","A bdqffdq:UseCase that documents the management of the quality of taxonomic names (see examples in Rees ER & Nicholls M (2020) Data Quality Use Case Study Results Biodiversity Information Science and Standards 4: e50889, suppl. 2. https://doi.org/10.3897/biss.4.50889.suppl2).","bdqffdq:UseCase","2024-09-30","recommended","bdqffdq:UseCase",,,"Taxon-Management"
"https://rs.tdwg.org/bdq/terms/version/Empty-2024-09-30","https://rs.tdwg.org/bdq/terms/Empty","Empty","Empty","Empty","An evaluation of a value, which in the context of the evaluation, returns true if the value does not contain any characters or values other than those in the range U+0000 to U+0020, otherwise returns false. ","Data","2024-09-30","recommended","http://www.w3.org/2004/02/skos/core#Concept","See also: bdq:NotEmpty. In the BDQ standard, bdq:Empty is used to evaluate bdqffdq:InformationElements within a Test specification, it therefore means empty if the dataset being evaluated does not contain the term matching the Information Element, or if the dataset contains that term but the value for that term is empty. The phrasing 'in the context of the evauation' is to allow the Test implementations to be independent of, and agnostic about the data structures presented to a framework for executing the Tests and the framework within which the Tests are run. The term bdq:Empty is defined to be more broadly usable than just with bdqtest. Note: A bdqffdq:InformationElement containing invalid characters (e.g., letters in an Information Element that would be expected to contain integers) or values (including string serializations of the NULL value) are bdq:NotEmpty and their invalidity must be separately detected. The definition of bdq:Empty is not applicable to a discussion of what value to include in a controlled vocabulary to indicate that no meaningful value is present, so no suggestion is made that bdq:Empty should be used as a data value to represent some form of 'Null', 'unknown', 'not recorded', etc. Choices there would fall into the semantics for some set of controlled vocabularies. The relevance to such a discussion is that the definition of bdq:Empty would treat an empty string as an empty value, with no semantics attached as to why the value is empty",,"Empty"
"https://rs.tdwg.org/bdq/terms/version/NotEmpty-2024-09-30","https://rs.tdwg.org/bdq/terms/NotEmpty","NotEmpty","NotEmpty","NotEmpty","An evaluation of a value, which in the context of the evaluation, returns false if the value contains any characters or values other than those in the range U+0000 to U+0020, otherwise returns true. ","Data","2024-09-30","recommended","http://www.w3.org/2004/02/skos/core#Concept","See also: bdq:Empty. In the BDQ standard, bdq:NotEmpty is used to evaluate bdqffdq:InformationElements within a Test specification. Common string serializations of null such as '\N', 'NA', 'NaN', and NULL are treated as bdq:NotEmpty. If '\N' is present in a dataset, Tests are expected to explicitly treat that value as bdq:NotEmpty, and then try to evaluate it against whatever other criteria may apply. The term bdq:NotEmpty is defined to be more broadly usable than the scope of BDQ Tests. ",,"NotEmpty"
