"iri","term_localName","prefLabel","label","definition","comments","organized_in","issued","status","rdf_type","term_iri","flags","controlled_value_string"
"https://rs.tdwg.org/bdqcrit/terms/Complete-2024-09-30","Complete","Complete","Complete","Data are present and sufficiently comprehensive for use.","Data in a bdqffdq:InformationElement are present and sufficiently comprehensive for use. Corresponding dimension is bdqdim:Completeness.","https://rs.tdwg.org/bdqcrit/terms/","2024-09-30","recommended","bdqffdq:Criterion","https://rs.tdwg.org/bdqcrit/terms/Complete",,"Complete"
"https://rs.tdwg.org/bdqcrit/terms/Consistent-2024-09-30","Consistent","Consistent","Consistent","Data are internally consistent and consistent with any authorities consulted. ","A set of bdqffdq:InformationElements and bdq:sourceAuthorities are consistent.  Corresponding dimension is bdqdim:Consistency.","https://rs.tdwg.org/bdqcrit/terms/","2024-09-30","recommended","bdqffdq:Criterion","https://rs.tdwg.org/bdqcrit/terms/Consistent",,"Consistent"
"https://rs.tdwg.org/bdqcrit/terms/Found-2024-09-30","Found","Found","Found","Data conform to the values in an authority.","Data in a bdqffdq:InformationElement conform to a bdq:sourceAuthority. Corresponding dimension is bdqdim:Conformance.","https://rs.tdwg.org/bdqcrit/terms/","2024-09-30","recommended","bdqffdq:Criterion","https://rs.tdwg.org/bdqcrit/terms/Found",,"Found"
"https://rs.tdwg.org/bdqcrit/terms/InRange-2024-09-30","InRange","In Range","In Range","Data conform to an expected range of values.","Data in a bdqffdq:InformationElement conform to an expected range of values. Corresponding dimension is bdqdim:Conformance.","https://rs.tdwg.org/bdqcrit/terms/","2024-09-30","recommended","bdqffdq:Criterion","https://rs.tdwg.org/bdqcrit/terms/InRange",,"InRange"
"https://rs.tdwg.org/bdqcrit/terms/Likely-2024-09-30","Likely","Likely","Likely","Data are likely to be true or expected values.","Data in a bdqffdq:InformationElement is likely to be true or expected values. Corresponding dimension is bdqdim:Likeliness.","https://rs.tdwg.org/bdqcrit/terms/","2024-09-30","recommended","bdqffdq:Criterion","https://rs.tdwg.org/bdqcrit/terms/Likely",,"Likely"
"https://rs.tdwg.org/bdqcrit/terms/NotEmpty-2024-09-30","NotEmpty","Not Empty","Not Empty","Some data value is present.","Some value is present in a bdqffdq:InformationElement. Corresponding dimension is bdqdim:Completeness. See also bdq:Empty and bdq:NotEmpty.","https://rs.tdwg.org/bdqcrit/terms/","2024-09-30","recommended","bdqffdq:Criterion","https://rs.tdwg.org/bdqcrit/terms/NotEmpty",,"NotEmpty"
"https://rs.tdwg.org/bdqcrit/terms/Standard-2024-09-30","Standard","Standard","Standard","Data conform to a format, syntax, data type, or standard.","Data in a bdqffdq:InformationElement conform to a format, syntax, data type, or standard. Corresponding dimension is bdqdim:Conformance.","https://rs.tdwg.org/bdqcrit/terms/","2024-09-30","recommended","bdqffdq:Criterion","https://rs.tdwg.org/bdqcrit/terms/Standard",,"Standard"
"https://rs.tdwg.org/bdqcrit/terms/Unambiguous-2024-09-30","Unambiguous","Unambiguous","Unambiguous","Data adequately identify a unique entity.","Data in a bdqffdq:InformationElement adequately identifies a unique entity. Corresponding dimension is bdqdim:Conformance.","https://rs.tdwg.org/bdqcrit/terms/","2024-09-30","recommended","bdqffdq:Criterion","https://rs.tdwg.org/bdqcrit/terms/Unambiguous",,"Unambiguous"
