"iri","term_localName","prefLabel","label","definition","comments","organized_in","issued","status","rdf_type","term_iri","flags","controlled_value_string"
"https://rs.tdwg.org/bdqenh/terms/AssumedDefault-2024-09-30","AssumedDefault","Assumed Default","Assumed Default","Data could be improved by setting an empty value to a default value","Data in a bdqffdq:InformationElement are absent and may be proposed to be filled in with a default value.  Corresponding dimension is bdqdim:Completeness","https://rs.tdwg.org/bdqenh/terms/","2024-09-30","recommended","bdqffdq:Enhancement","https://rs.tdwg.org/bdqenh/terms/AssumedDefault",,"AssumedDefault"
"https://rs.tdwg.org/bdqenh/terms/Converted-2024-09-30","Converted","Converted","Converted","Data could be improved by converting from one representation to another","As in spatial coordinate transformations.  Data in a bdqffdq:InformationElement that do not conform to some specification may be proposed to be replaced in with a conforming value.  Corresponding dimension is bdqdim:Conformance","https://rs.tdwg.org/bdqenh/terms/","2024-09-30","recommended","bdqffdq:Enhancement","https://rs.tdwg.org/bdqenh/terms/Converted",,"Converted"
"https://rs.tdwg.org/bdqenh/terms/FilledInFrom-2024-09-30","FilledInFrom","Fill In From","Fill In From","Data could be improved by using one data value to fill in the empty value in another","As in filling in from verbatim terms.  Data in a bdqffdq:InformationElement are absent and may be proposed to be filled in by interpretation of values in one or more other terms.  Corresponding dimension is bdqdim:Completeness.","https://rs.tdwg.org/bdqenh/terms/","2024-09-30","recommended","bdqffdq:Enhancement","https://rs.tdwg.org/bdqenh/terms/FilledInFrom",,"FilledInFrom"
"https://rs.tdwg.org/bdqenh/terms/Standardized-2024-09-30","Standardized","Standardized","Standardized","Data could be improved by conforming them to a standard representation.","Data in a bdqffdq:InformationElement that do not conform to some format, syntax, data type, or standard may be proposed to be replaced in with a conforming value.  Corresponding dimension is bdqdim:Conformance","https://rs.tdwg.org/bdqenh/terms/","2024-09-30","recommended","bdqffdq:Enhancement","https://rs.tdwg.org/bdqenh/terms/Standardized",,"Standardized"
"https://rs.tdwg.org/bdqenh/terms/Transposed-2024-09-30","Transposed","Transposed","Transposed","Data could be improved by switching values between two or more fields.","Data in a set of at least two bdqffdq:InformationElements that do not conform to expectations may be proposed to have their values switched in order to produce conforming values.  Corresponding dimension is bdqdim:Consistency.","https://rs.tdwg.org/bdqenh/terms/","2024-09-30","recommended","bdqffdq:Enhancement","https://rs.tdwg.org/bdqenh/terms/Transposed",,"Transposed"
