"Term","namespaceTerm","VocabularyLocation"
"has Resource Type","bdqffdq:hasResourceType","bdqffdq:"
"has Response Comment","bdqffdq:hasResponseComment","bdqffdq:"
"has Response Qualifier","bdqffdq:hasResponseQualifier","bdqffdq:"
"has Reponse Result","bdqffdq:hasResponseResult","bdqffdq:"
"has Response Result Value","bdqffdq:hasResponseResultValue","bdqffdq:"
"has Response Status","bdqffdq:hasResponseStatus","bdqffdq:"
"has Specification","bdqffdq:hasSpecification","bdqffdq:"
"has Use Case","bdqffdq:hasUseCase","bdqffdq:"
"iDigBio",,"Glossary"
"Immature/Incomplete",,"Glossary"
"Implementation","bdqffdq:Implementation","bdqffdq:"
"implemented By","bdqffdq:implementedBy","bdqffdq:"
"improved By","bdqffdq:improvedBy","bdqffdq:"
"Improvement Target","bdqffdq:ImprovementTarget","bdqffdq:"
"included In Policy","bdqffdq:includedInPolicy","bdqffdq:"
"Information Element","bdqffdq:InformationElement","bdqffdq:"
"InformationElements ActedUpon","bdqffdq:composedOf","Key to Vocabulary Terms"
"InformationElements Consulted","bdqffdq:composedOf","Key to Vocabulary Terms"
"INRANGE",,"Test Label Components"
"InRange","bdqcrit:InRange","bdqcrit:"
"INTERNAL_PREREQUISITES_NOT_MET","bdqffdq:INTERNAL_PREREQUISITES_NOT_MET","bdqffdq:"
"IRI",,"Glossary"
"IS_ISSUE","bdqffdq:IS_ISSUE","bdqffdq:"
"ISO",,"Glossary"
"ISO/DCMI STANDARD",,"Glossary"
"Issue","bdqffdq:Issue","bdqffdq:"
"ISSUE",,"Test Label Components"
"Issue Assertion","bdqffdq:IssueAssertion","bdqffdq:"
"Issue Concept","ndqffdq:IssueConcept","bdqffdq:"
"Issue Method","bdqffdq:IssueMethod","bdqffdq:"
"Issue Policy","bdqffdq:IssuePolicy","bdqffdq:"
"issue Property","bdqffdq:issueProperty","bdqffdq:"
"Java",,"Glossary"
"label","rdfs:label","Key to Vocabulary Terms"
"latestValidDate","bdqval:latestValidDate","bdqval:"
"LESSTHAN",,"Test Label Components"
"Likeliness","bdqdim:Likeliness","bdqdim:"
"Likely","bdqcrit:Likely","bdqcrit:"
"maximumValidDepthInMeters","bdqval:maximumValidDepthInMeters","bdqval:"
"maximumValidElevationInMeters","bdqval:maximumValidElevationInMeters","bdqval:"
"Measure","bdqffdq:Measure","bdqffdq:"
"MEASURE",,"Test Label Components"
"Measure Assertion","bdqffdq:MeasureAssertion","bdqffdq:"
"Measurement Method","bdqffdq:MeasurementMethod","bdqffdq:"
"Measurement Policy","bdqffdq:MeasurementPolicy","bdqffdq:"
"measurement Property","bdqffdq:measurementProperty","bdqffdq:"
"Mechanism","bdqffdq:Mechanism","bdqffdq:"
"minimumValidDepthInMeters","bdqval:minimumValidDepthInMeters","bdqval:"
"minimumValidElevationInMeters","bdqval:minimumValidElevationInMeters","bdqval:"
"Modified","dcterms:issued","Key to Vocabulary Terms"
"Multi Record","bdqffdq:MultiRecord","bdqffdq:"
"MULTIRECORD_MEASURE_COUNT",,"Test Label Components"
"MULTIRECORD_MEASURE_QA",,"Test Label Components"
"NAME",,"Glossary"
"Need Concept","bdqffdq:NeedConcept","bdqffdq:"
"NEEDS WORK",,"Glossary"
"non-printing characters","non-printing characters","Glossary"
"NOT_AMENDED","bdqffdq:NOT_AMENDED","bdqffdq:"
"NOT_COMPLETE","bdqffdq:NOT_COMPLETE","bdqffdq:"
"NOT_COMPLIANT","bdqffdq:NOT_COMPLIANT","bdqffdq:"
"NOT_ISSUE","bdqffdq:NOT_ISSUE","bdqffdq:"
"NOTEMPTY",,"Test Label Components"
"NotEmpty","bdqval:NotEmpty","bdqval:"
"NotEmpty","bdqcrit:NotEmpty","bdqcrit:"
"Notes","skos:note","Key to Vocabulary Terms"
"null","null","Glossary"
"OA","oa:","Glossary"
"OTHER",,"Glossary"
"OWL",,"Glossary"
"Parameter","bdqffdq:Parameter","bdqffdq:"
"Parameter(s)","bdqffdq:Parameter","Key to Vocabulary Terms"
"Parameterized",,"Glossary"
"Policy","bdqffdq:Policy","bdqffdq:"
"POLYNOMIAL",,"Test Label Components"
"POTENTIAL_ISSUE","bdqffdq:POTENTIAL_ISSUE","bdqffdq:"
"Preferred Label","skos:prefLabel","Key to Vocabulary Terms"
"PREREQUISITESNOTMET",,"Test Label Components"
"produces Assertion","bdqffdq:producesAssertion"," bdqffdq:"
"PROPOSED",,"Test Label Components"
"Python",,"Glossary"
"QA",,"Glossary"
"QC",,"Glossary"
"RDF",,"Glossary"
"RDFS",,"Glossary"
"Record-Management","bdqval:Record-Management","bdqval:"
"References",,"Key to Vocabulary Terms"
"Reliability","bdqdim:Reliability","bdqdim:"
"Report Concept","bdqffdq:Report Concept","bdqffdq:"
"report Property","bdqffdq:reportProperty","bdqffdq:"
"Resolution","bdqdim:Resolution","bdqdim:"
"Resource Type","bdqffdq:ResourceType","bdqffdq:"
"Resource Type","bdqffdq:ResourceType","Key to Vocabulary Terms"
"Response","bdqffdq:Response","bdqffdq:"
"Reponse Qualifier","bdqffdq:ResponseQualifier","bdqffdq:"
"Response Result","bdqffdq:ResponseResult","bdqffdq:"
"Response Status","bdqffdq:ResponseStatus","bdqffdq:"
"Response.comment","Shorthand for bdqffdq:hasResponseComment","Glossary"
"Response.qualifier","Shorthand for bdqffdq:hasResponseQualifier","Glossary"
"Response.result","Shorthand for bdqffdq:hasResponseResult","Glossary"
"Response.status","Shorthand for bdqffdq:hasResponseStatus","Glossary"
"Roman numerals","Roman numerals","Glossary"
"RUN_HAS_RESULT","bdqffdq:RUN_HAS_RESULT","bdqffdq:"
"SDS",,"Glossary"
"Single Record","bdqffdq:SingleRecord","bdqffdq:"
"SKOS",,"Glossary"
"Solutions Concept","bdqffdq:SolutionsConcept","bdqffdq:"
"Source","skos:historyNote","Key to Vocabulary Terms"
"source Authority","bdqval:sourceAuthority","bdqval:"
"SourceAuthorities/Defaults","bdqffdq:hasAuthoritiesDefault","Key to Vocabulary Terms"
"SPACE",,"Glossary"
"spatialBufferInMeters","bdqval:spatialBufferInMeters","bdqval:"
"Spatial-Temporal Patterns","bdqval:Spatial-Temporal Patterns","bdqval:"
"Specification","bdqffdq:Specification","bdqffdq:"
"Specification GUID","bdqffdq:Specification","Key to Vocabulary Terms"
"SRS",,"Glossary"
"STANDARD",,"Test Label Components"
"Standard","bdqcrit:Standard","bdqcrit:"
"STANDARDIZED",,"Test Label Components"
"Standardized","bdqenh:Standardized","bdqenh:"
"Supplementary",,"Glossary"
"targeted Issue","bdqffdq:targetedIssue","bdqffdq:"
"targeted Measure","bdqffdq:targetedMeasure","bdqffdq:"
"targeted Validation","bdqffdq:targetedValidation","bdqffdq:"
"taxonIsMarine","bdqval:taxonIsMarine","bdqval:"
"Taxon-Management","bdqval:Taxon-Management","bdqval:"
"TDWG",,"Glossary"
"Term-Action",,"Glossary"
"Term IRI","dcterms:isVersionOf","Key to Vocabulary Terms"
"Term Name","rdf:value","Key to Vocabulary Terms"
"Term Version IRI","rdf:about","Key to Vocabulary Terms"
"Test",,"Glossary"
"Test (technical)",,"Glossary"
"TG1",,"Glossary"
"TG2",,"Glossary"
"TG3",,"Glossary"
"TG4",,"Glossary"
"TIME",,"Glossary"
"TRANSPOSED",,"Test Label Components"
"Transposed","bdqenh:Transposed","bdqenh:"
"Type","rdf:type","Key to Vocabulary Terms"
"UNAMBIGUOUS",,"Test Label Components"
"Unambiguous","bdqcrit:Unambiguous","bdqcrit:"
"Use Case","bdqffdq:UseCase","bdqffdq:"
"uses Specification","bdqffdq:usesSpecification","bdqffdq:"
"Validation","bdqffdq:Validation","bdqffdq:"
"VALIDATION",,"Test Label Components"
"Validation Assertion","bdqffdq:ValidationAssertion","bdqffdq:"
"Validation Method","bdqffdq:ValidationMethod","bdqffdq:"
"Validation Policy","bdqffdq:ValidationPolicy","bdqffdq:"
"validation Property","bdqffdq:validationProperty","bdqffdq:"
"VERBATIM",,"Test Label Components"
"VertNet",,"Glossary"
"VOCABULARY",,
"whitespace","whitespace","Glossary"
"XSD","xsd:","Glossary"
"YEARMONTHDAY",,"Test Label Components"
"YEARSTARTDAYOFYEARENDDAYOFYEAR",,"Test Label Components"
