"Term","namespaceTerm","VocabularyLocation"
"Abstract Information Element","bdqffdq:AbstractInformationElement","bdqffdq:"
"Acted Upon","bdqffdq:ActedUpon","bdqffdq:"
"Actual Parameter",,"Glossary"
"AggregatedTest ResponseOutcomes","bdqval:AggregatedTestResponseOutcomes","bdqval:"
"aggregatesResponsesFrom","bdqffdq:aggregatesResponsesFrom","bdqffdq:"
"ALA",,"Glossary"
"Alien-Species","bdqval:Alien-Species","bdqval:"
"AllAmendmentTestsRunOnSingleRecord","bdqval:AllAmendmentTestsRunOnSingleRecord","bdqval:"
"AllValidationTestsRunOnSingleRecord","bdqval:AllValidationTestsRunOnSingleRecord","bdqval:"
"Ambiguous",,"Glossary"
"AMENDED","bdqffdq:AMENDED","bdqffdq:"
"Amendment","bdqffdq:Amendment","bdqffdq:"
"AMENDMENT",,"Test Label Components"
"Amendment Assertion","bdqffdq:Amendment Assertion","bdqffdq:"
"Amendment Method","bdqffdq:Amendment Method","bdqffdq:"
"Amendment Policy","bdqffdq:Amendment Policy","bdqffdq:"
"amendment Property","bdqffdq:amendment Property","bdqffdq:"
"annotationAlertIf","bdqval:annotationAlertIf","bdqval:"
"annotationSystem","bdqval:annotationSystem","bdqval:"
"applies To","bdqffdq:amendmentProperty","bdqffdq:"
"Argument","bdqffdq:Argument","bdqffdq:"
"Argument GUID","bdqffdq:Argument","Key to Vocabulary Terms"
"Assertion","bdqffdq:Response",
"ASSUMEDDEFAULT",,"Test Label Components"
"AssumedDefault","bdqenh:AssumedDefault","bdqenh:"
"assumptionOnUnknownBiome","bdqval:assumptionOnUnknownBiome","bdqval:"
"Atlas of Living Australia",,"Glossary    "
"BDQ",,"Glossary"
"BDQIG",,"Glossary"
"Biotic-Relationships","bdqval:Biotic-Relationships","bdqval:"
"BISON",,"Glossary"
"CENTREOFCOUNTRY",,"Test Label Components"
"COMPLETE",,"Test Label Components"
"COMPLETE","bdqffdq:COMPLETE","bdqffdq:"
"Complete","bdqcrit:Complete","bdqcrit:"
"Completeness","bdqdim:Completeness","bdqdim:"
"COMPLIANT","bdqffdq:COMPLIANT","bdqffdq:"
"composed Of","bdqffdq:composedOf","bdqffdq:"
"Conformance","bdqdim:Conformance","bdqdim:"
"Consistency","bdqdim:Consistency","bdqdim:"
"CONSISTENT",,"Test Label Components"
"Consistent","bdqcrit:Consistent","bdqcrit:"
"Consulted","bdqffdq:Consulted","bdqffdq:"
"contains Assertion","bdqffdq:containsAssertion","bdqffdq:"
"Converted","bdqenh:Converted","bdqenh:"
"COORDINATES",,"Test Label Components"
"COORDINATESTERRESTRIALMARINE",,"Test Label Components"
"CORE","bdqtag:CORE","Glossary"
"CRIA",,"Glossary"
"Criterion","bdqffdq:Criterion","bdqffdq:"
"Criterion","bdqffdq:Criterion","Key to Vocabulary Terms"
"CRS",,"Glossary"
"Darwin Core",,"Glossary"
"database of record",,"Glossary"
"Data Quality Dimension","bdqffdq:DataQualityDimension","bdqffdq:"
"Data Quality Dimension","bdqffdq:DataQualityDimension","Key to Vocabulary Terms"
"Data Quality Method","bdqffdq:DataQualityMethod","bdqffdq:"
"Data Quality Need","bdqffdq:DataQualityNeed","bdqffdq:"
"Data Quality Profile","bdqffdqDataQualityProfile","bdqffdq:"
"Data Quality Report","bdqffdq:DataQualityReport","bdqffdq:"
"Data Resource","bdqffdq:DataResource","bdqffdq:"
"DCMI","dc:","Glossary"
"defaultGeodeticDatum","bdqval:defaultGeodeticDatum","bdqval:"
"DefaultSourceAuthority","bdqval:DefaultSourceAuthority","bdqval:"
"defaultValue","bdqval:defaultValue","bdqval:"
"Description","rdfs:comment","Key to Vocabulary Terms"
"Developed As GitHub Issue","skos:historyNote","Key to Vocabulary Terms"
"Dimension","bdqffdq:DataQualityDimension","Glossary"
"DO NOT IMPLEMENT","bdqtag:DO NOT IMPLEMENT","Glossary"
"Dublin Core",,"Glossary"
"DwC",,"Glossary"
"DURATIONINSECONDS",,"Test Label Components"
"earliestValidDate","bdqval:earliestValidDate","bdqval:"
"Empty","bdqval:Empty","bdqval:"
"Enhancement","bdqffdq:Enhancement","bdqffdq:"
"Enhancement","bdqffdq:Enhancement","Key to Vocabulary Terms"
"EPSG","EPSG:","Glossary"
"Example Implementations","skos:note","Key to Vocabulary Terms"
"Example Implementation Source","skos:note","Key to Vocabulary Terms"
"Examples","skos:example","Key to Vocabulary Terms"
"Expected Response","bdqffdq:hasExpectedResponse","Key to Vocabulary Terms"
"EXTERNAL_PREREQUISITES_NOT_MET","bdqffdq:EXTERNAL_PREREQUISITES_NOT_MET","bdqffdq:"
"FILLED_IN","bdqffdq:FILLED_IN","bdqffdq:"
"FilledInFrom","bdqenh:FilledInFrom","bdqenh:"
"for Amendment","bdqffdq:forAmendment","bdqffdq:"
"for Data Quality Need","bdqffdq:dorDataQualityNeed","bdqffdq:"
"for Issue","bdqffdq:forIssue","bdqffdq:"
"for Measure","bdqffdq:forMeasure","bdqffdq:"
"for Validation","bdqffdq:forValidation","bdqffdq:"
"Formal Paramater",,"Glossary"
"FOUND",,"Test Label Components"
"Found","bdqcrit:Found","bdqcrit:"
"Framework",,"Glossary"
"FROM",,"Term-Action"
"Fundamental Concept","bdqffdq:FundamentalConcept","bdqffdq:"
"GBIF",,"Glossary"
"geodetic coordinate reference system",,"Glossary"
"geodetic datum",,"Glossary"
"geospatialLand","bdqval:geospatialLand","bdqval:"
"GitHub Issue Labels","skos:note","Key to Vocabulary Terms"
"Global Biodiversity Information Facility",,"Glossary"
"GUID","GUID","Glossary"
"has Acted Upon Information Element","bdqffdq:hasActedUponInformationElement","bdqffdq:"
"has Argument","bdqffdq:hasArgument","bdqffdq:"
"has Authorities Default","bdqffdq:hasAuthoritiesDefault","bdqffdq:"
"has Consulted Information Element","bdqffdq:hasConsultedInformationElement","bdqffdq:"
"has Criterion","bdqffdq:hasCriterion","bdqffdq:"
"has Date Last Updated","bdqffdq:hasDateLastUpdated","bdqffdq:"
"has Data Quality Dimension","bdqffdq:hasDataQualityDimension","bdqffdq:"
"has Enhancement","bdqffdq:hasEnhancement","bdqffdq:"
"has Expected Response","bdqffdq:hasExpectedResponse","bdqffdq:"
"has Information Element","bdqffdq:hasInformationElement","bdqffdq:"
"has Parameter","bdqffdq:hasParameter","bdqffdq:"
