document_modified,list,list_deprecated,list_localName,label,description,list_created,list_modified,vann_preferredNamespacePrefix,vann_preferredNamespaceUri,database,versions_database,versions_uri,standard
2024-09-12T12:00:00-05:00,https://rs.tdwg.org/bdq/bdqdim/,false,bdqdim,Data Quality Dimension vocabulary terms,Draft term list for the BDQ Dimension vocabulary.,2024-09-12,2024-09-12,bdqdim,https://rs.tdwg.org/bdq/bdqdim/,bdqdim,bdqdim_type-versions,https://rs.tdwg.org/bdq/version/bdqdim/version/,https://example.com/standards/bdq
2024-09-12T12:00:00-05:00,https://rs.tdwg.org/bdq/bdq/,false,bdq,Data Quality vocabulary terms,Draft term list for the BDQ vocabulary.,2024-09-12,2024-09-12,bdq,https://rs.tdwg.org/bdq/bdq/,bdq,bdq_type-versions,https://rs.tdwg.org/bdq/version/bdq/version/,https://example.com/standards/bdq
2024-09-12T12:00:00-05:00,https://rs.tdwg.org/bdq/bdqcrit/,false,bdqcrit,Data Quality Criterion vocabulary terms,Draft term list for the BDQ Criterion vocabulary.,2024-09-12,2024-09-12,bdqcrit,https://rs.tdwg.org/bdq/bdqcrit/,bdqcrit,bdqcrit_type-versions,https://rs.tdwg.org/bdq/version/bdqcrit/version/,https://example.com/standards/bdq
2024-09-12T12:00:00-05:00,https://rs.tdwg.org/bdq/bdqenh/,false,bdqenh,Data Quality Enhancement vocabulary terms,Draft term list for the BDQ Enhancement vocabulary.,2024-09-12,2024-09-12,bdqenh,https://rs.tdwg.org/bdq/bdqenh/,bdqenh,bdqenh_type-versions,https://rs.tdwg.org/bdq/version/bdqenh/version/,https://example.com/standards/bdq
2024-09-12T12:00:00-05:00,https://rs.tdwg.org/bdq/bdqtest/,false,bdqtest,Data Quality Test terms,Draft term list for the BDQ Tests vocabulary.,2024-09-12,2024-09-12,bdqtest,https://rs.tdwg.org/bdqtest/,bdqtest,bdqtest_type-versions,https://rs.tdwg.org/bdq/version/bdqtest/version/,https://example.com/standards/bdq
2024-09-12T12:00:00-05:00,https://rs.tdwg.org/bdqffdq/,false,bdqffdq,Fitness For Use Framework vocabulary terms,Draft term list for the bdqffdq vocabulary.,2024-09-12,2024-09-12,bdqffdq,https://rs.tdwg.org/bdqffdq/,bdqffdq,bdqffdq_type-versions,https://rs.tdwg.org/bdqffdq/version/,https://example.com/standards/bdq
